ra,dec,RAdeg_OC,DECdeg_OC,freqc,w50,snr,flux,rms,distance,HImass,code
148.93066,26.33923,148.93513,26.29181,1349.87235,117,5.1,0.74,1.57,240.6,10,2
149.04053,26.11053,,,1396.68632,107,10.9,0.34,0.9,76.2,8.66,4
149.04126,26.98222,149.04375,26.98195,1393.58391,66,17.9,0.93,1.8,86.5,9.24,1
149.05959,26.70028,149.05292,26.69333,1344.02482,278,7.5,1.69,2.09,262.5,10.4,1
149.12842,25.903,149.09356,25.92244,1328.35746,303,26.1,2.49,2.15,322.9,10.76,2
149.12842,26.98621,149.1213,26.98727,1332.50785,102,20.9,1.12,1.75,306.7,10.37,3
149.14669,26.42246,149.17435,26.43075,1352.71049,91,8.7,0.94,2.73,230.1,10.07,3
149.25625,26.35823,149.27692,26.3544,1323.46702,91,34,4.88,3.88,342.3,11.1,3
149.26025,25.903,149.26190 ,25.87241 ,1328.29642,312,35,3.85,1.81,323.2,10.95,3
149.28223,26.50584,149.28795,26.49818,1350.02494,117,8.1,0.51,1.46,240.1,9.83,3
149.34814,25.903,149.36681,25.91739,1328.23539,314,21,1.69,1.97,323.4,10.92,3
149.37012,26.25601,149.37602,26.26024,1347.76664,100,8.2,0.27,1.99,248.4,9.57,3
149.39,25.94,149.38333,25.93917,1411.26078,71,9.6,0.63,2,28.9,8.09,1
149.41406,26.25601,149.38523,26.25996,1347.82767,126,9.8,1.09,1.93,248.3,10.18,3
149.43604,26.8189,,,1361.13333,109,11.2,0.38,1.6,199.3,9.54,4
149.43832,25.94333,149.43875,25.94278,1351.237592,160,7.5,1.02,2.39,223.4,10.08,5
149.47998,26.15208,149.51291,26.13928,1364.03251,109,11.3,0.52,1.11,188.8,9.62,3
149.62334,26.24361,149.61458,26.24722,1390.312472,202,4.7,0.65,2.15,96.9,9.16,5
149.63379,25.88227,,,1331.98905,194,6,0.37,2.52,308.7,9.07,4
149.66458,26.83,149.66708,26.83639,1364.70749,235,6.8,1.3,1.29,186,10,1
149.69971,26.8189,149.72349,26.82721,1348.59061,102,22.4,0.99,1.21,245.4,10.12,3
149.87549,26.15208,149.85536,26.15712,1363.91044,98,20.4,0.7,1.2,189.3,9.75,3
149.91943,26.98621,149.90027,26.96029,1332.44681,116,21.1,1.16,1.43,306.9,10.38,3
149.92917,26.16139,149.92709,26.17056,1384.03336,148,7.5,0.56,1.77,118.8,9.26,1
150.09521,27.02808,150.13972,27.05211,1332.62992,116,13.4,0.78,1.87,306.2,10.21,3
150.11719,26.88161,150.06552,26.88677,1316.48612,135,12.7,1.2,2.43,370.3,10.56,3
150.24902,27.04902,150.20314,27.02697,1316.66923,109,11,1.3,2.91,369.6,10.59,3
150.29297,26.96528,150.2856,26.96661,1316.57767,99,14.6,0.97,2.02,370,10.46,3
150.33691,26.96528,,,1316.63871,96,12.1,0.94,2.68,369.7,10.45,4
150.40283,26.94436,150.40666,26.92951,1417.52982,117,8.1,0.44,2.54,9,6.92,3
150.5127,26.96528,150.52275,26.97074,1316.76078,106,7.6,0.45,2.76,369.2,10.12,3
150.55664,27.04902,150.57038,27.07761,1316.66923,99,5.2,0.29,2.64,369.6,9.93,3
150.60059,26.88161,,,1349.56717,177,7,5.94,1.02,241.8,10.89,4
150.71045,26.36004,150.71223,26.33594,1328.11332,291,32.5,4.46,3.06,323.9,11.01,3
151.13208,26.6625,151.14458,26.66972,1365.861054,68,5.5,0.44,2.12,175.2,9.5,5
151.18208,25.98028,151.18875,25.97556,1391.089131,151,5,0.73,2.66,94.5,9.19,5
151.23779,26.6101,151.22336,26.60317,1333.36234,226,8.3,0.25,1.74,303.4,9.7,3
151.32568,26.52669,151.2873,26.55064,1333.39286,223,6.1,1.39,1.12,303.3,10.45,3
151.38374,25.79389,151.38333,25.79944,1395.16718,130,10.1,0.93,1.93,81.3,9.15,1
151.41357,26.6101,151.41433,26.59415,1362.14042,108,5.7,0.36,1.57,195.6,9.93,3
151.47949,26.71445,151.47196,26.68805,1333.08768,101,11.1,0.45,1.08,304.5,9.99,3
151.52344,26.75622,151.51718,26.76892,1332.96561,90,14,0.59,1.81,304.9,10.09,3
151.54541,26.52669,151.54508,26.51293,1333.27079,132,10.2,0.64,2.05,303.7,10.11,3
